iata,name,city,country,lat,lng,timezone
BFU,Bengbu Airport,Bengbu,China,32.8477333333,117.320244444,
RUG,Rugao Air Base,Rugao,China,32.25788497924805,120.50165557861328,
WHU,Wuhu Air Base,Wuhu,China,31.3906,118.408997,
SXJ,Shanshan Airport,Shanshan,China,42.91170120239258,90.24749755859375,
YKH,Yingkou Lanqi Airport,Yingkou,China,40.542524,122.3586,
BQG,Bogorodskoye Airport,Bogorodskoe,Russia,52.38,140.448,
HYD,Rajiv Gandhi International Airport,Hyderabad,India,17.2313175201,78.4298553467,
PKO,Parakou Airport,Parakou,Benin,9.35768985748291,2.609679937362671,
KDC,Kandi Airport,Kandi,Benin,11.14479,2.940381,
HMG,Hermannsburg Airport,Hermannsburg,Australia,-23.93000030517578,132.80499267578125,
BIB,Baidoa Airport,Baidoa,Somalia,3.102220058441162,43.62860107421875,
KCS,Kings Creek Airport,Petermann,Australia,-24.42329978942871,131.8350067138672,
BMR,Baltrum Airport,Baltrum,Germany,53.72472381591797,7.373332977294922,
MVW,Skagit Regional Airport,Skagit,United States,48.4709014893,-122.42099762,
GOO,Goondiwindi Airport,Goondiwindi,Australia,-28.521400451660156,150.32000732421875,
APT,Marion County Brown Field,Jasper,United States,35.060699,-85.585297,
DCU,Pryor Field Regional Airport,Decatur,United States,34.652698516799994,-86.94539642330001,
GLW,Glasgow Municipal Airport,Glasgow,United States,37.03179932,-85.9536972,
DKV,Docker River Airport,Docker River,Australia,-24.860000610351562,129.07000732421875,
RNZ,Jasper County Airport,Rensselaer,United States,40.9478988647,-87.1826019287,
SBT,Sabetta International Airport,Sabetta,Russia,71.219167,72.052222,
AXF,Alxa Left Banner Bayanhot Airport,Alxa Left Banner,China,38.74831,105.58858,
NIS,Simberi Airport,Simberi Island,Papua New Guinea,-2.66222222222,151.997777778,
BUL,Bulolo Airport,Bulolo,Papua New Guinea,-7.216286671410001,146.649541855,
TBR,Statesboro Bulloch County Airport,Statesboro,United States,32.4827003479,-81.73690032959999,
AMT,Amata Airport,Amata,Australia,-26.108299255371094,131.20700073242188,
EDD,Erldunda Airport,Erldunda,Australia,-25.205799102800004,133.253997803,
